Afiliación,Institución,Ciudad,País,inst,city,country,afil_id,lon,lat
"Instituto de Recursos Naturales y Agrobiología de Sevilla (IRNAS-CSIC)

41012 Sevilla (España)","Instituto de Recursos Naturales y Agrobiología de Sevilla (IRNAS-CSIC)

41012 Sevilla (España)",NA,NA,Instituto+de+Recursos+Naturales+y+Agrobiología+Sevilla,NA,NA,"Instituto de Recursos Naturales y Agrobiología de Sevilla (IRNAS-CSIC)

41012 Sevilla (España)_NA_NA",-5.986976751639857,37.35734385
Trabajador independiente,Trabajador independiente,NA,NA,NA,NA,NA,Trabajador independiente_NA_NA,NA,NA
CSIC,CSIC,NA,NA,CSIC,NA,NA,CSIC_NA_NA,-3.687401374378301,40.4407145
"Departamento de Botánica, Ecología y Fisiología Vegetal. Universidad de Córdoba","Departamento de Botánica, Ecología y Fisiología Vegetal. Universidad de Córdoba",NA,NA,Universidad+de+Córdoba,Córdoba,Spain,"Departamento de Botánica, Ecología y Fisiología Vegetal. Universidad de Córdoba_NA_NA",-4.78854980783791,37.8843231
CEBAS-CSIC,CEBAS-CSIC,NA,NA,CEBAS+CSIC,NA,NA,CEBAS-CSIC_NA_NA,-1.1719583385199903,38.02305735
"iuFOR, Instituto de Investigación en Gestión Forestal Sostenible, Universidad de Valladolid (Campus de Palencia)","iuFOR, Instituto de Investigación en Gestión Forestal Sostenible, Universidad de Valladolid (Campus de Palencia)",NA,NA,Instituto+de+Investigación+en+Gestión+Forestal+Sostenible,Palencia,Spain,"iuFOR, Instituto de Investigación en Gestión Forestal Sostenible, Universidad de Valladolid (Campus de Palencia)_NA_NA",-4.5328735,42.0108856
Universitat de Lleida,Universitat de Lleida,NA,NA,Universitat+de+Lleida,NA,NA,Universitat de Lleida_NA_NA,0.6198337,41.6130756
Centro Tecnológico Forestal de Cataluña,Centro Tecnológico Forestal de Cataluña,NA,NA,CTFC,Lérida,Spain,Centro Tecnológico Forestal de Cataluña_NA_NA,1.519315720740741,42.0110983
Universitat Politècnica de València,Universitat Politècnica de València,NA,NA,Universitat+Politècnica+de+València,NA,NA,Universitat Politècnica de València_NA_NA,-0.3500211,39.4812036
Estación Biológica de Doñana (CSIC),Estación Biológica de Doñana (CSIC),NA,NA,Estación+Biológica+de+Doñana+(CSIC),NA,NA,Estación Biológica de Doñana (CSIC)_NA_NA,-6.005817705690609,37.4119228
"Laboratorio de Ecología, Instituto Investigación Sistema Tierra Andalucía - Universidad de Granada","Laboratorio de Ecología, Instituto Investigación Sistema Tierra Andalucía - Universidad de Granada",NA,NA,Universidad+de+Granada,Granada,Spain,"Laboratorio de Ecología, Instituto Investigación Sistema Tierra Andalucía - Universidad de Granada_NA_NA",-3.6000115,37.1809009
"- CEO in TechInCrop
- Asistente Honorario Dpto. Biología Vegetal y Ecología. Área Fisiología Vegetal. Universidad de Sevilla","- CEO in TechInCrop
- Asistente Honorario Dpto. Biología Vegetal y Ecología. Área Fisiología Vegetal. Universidad de Sevilla",NA,NA,+CEO+in+TechInCrop+Asistente+Honorario+Dpto.+Biología+Vegetal+y+Ecología.+Área+Fisiología+Vegetal.+Universidad+de+Sevilla,NA,NA,"- CEO in TechInCrop
- Asistente Honorario Dpto. Biología Vegetal y Ecología. Área Fisiología Vegetal. Universidad de Sevilla_NA_NA",NA,NA
Universidad de Sevilla,Universidad de Sevilla,NA,NA,Universidad+de+Sevilla,Sevilla,Spain,Universidad de Sevilla_NA_NA,-5.990264998425345,37.380731749999995
Estación Biológica de Doñana (EBD-CSIC),Estación Biológica de Doñana (EBD-CSIC),NA,NA,Estación+Biológica+de+Doñana,NA,NA,Estación Biológica de Doñana (EBD-CSIC)_NA_NA,-6.005817705690609,37.4119228
"Swedish University of Agricultural Sciences SLU
Faculty of Forest Sciences
Department of Forest Resource Management
Section of Mathematical Statistics Applied to Forest Sciences","Swedish University of Agricultural Sciences SLU
Faculty of Forest Sciences
Department of Forest Resource Management
Section of Mathematical Statistics Applied to Forest Sciences",NA,NA,Swedish+University+of+Agricultural+Sciences,NA,NA,"Swedish University of Agricultural Sciences SLU
Faculty of Forest Sciences
Department of Forest Resource Management
Section of Mathematical Statistics Applied to Forest Sciences_NA_NA",20.314666319704294,63.820157449999996
Freelance,Freelance,NA,NA,NA,NA,NA,Freelance_NA_NA,NA,NA
Institudo Meditarráneo de Estudios Avanzados (IMEDEA). CSIC-UIB,Institudo Meditarráneo de Estudios Avanzados (IMEDEA). CSIC-UIB,NA,NA,Instituto+Mediterráneo+de+Estudios+Avanzados,NA,NA,Institudo Meditarráneo de Estudios Avanzados (IMEDEA). CSIC-UIB_NA_NA,2.5813481646330354,39.6662715
"Forest Ecology and Restoration Group, Universidad de Alcalá","Forest Ecology and Restoration Group, Universidad de Alcalá",NA,NA,Universidad+de+Alcalá,NA,NA,"Forest Ecology and Restoration Group, Universidad de Alcalá_NA_NA",-3.363064202743788,40.4823302
"Centro de Ecología Aplicada ""Baeta Neves"" - Universidad de Lisboa
Universidad de Cádiz (a partir de abril)","Centro de Ecología Aplicada ""Baeta Neves"" - Universidad de Lisboa
Universidad de Cádiz (a partir de abril)",NA,NA,Universidad+de+Cádiz,NA,NA,"Centro de Ecología Aplicada ""Baeta Neves"" - Universidad de Lisboa
Universidad de Cádiz (a partir de abril)_NA_NA",-6.2059829,36.5294785
CREAF,CREAF,NA,NA,CREAF,Barcelona,Spain,CREAF_NA_NA,2.10963,41.5009455
"Departamento de Biología y Geología, Física y Química Inorgánica, Universidad Rey Juan Carlos","Departamento de Biología y Geología, Física y Química Inorgánica, Universidad Rey Juan Carlos",NA,NA,Universidad+Rey+Juan+Carlos,NA,NA,"Departamento de Biología y Geología, Física y Química Inorgánica, Universidad Rey Juan Carlos_NA_NA",-3.8771203152794294,40.33611785
Technical University of Munich,Technical University of Munich,NA,NA,Technical+University+of+Munich,NA,NA,Technical University of Munich_NA_NA,11.669345610437997,48.2655696
Universidad de La Frontera (Chile),Universidad de La Frontera (Chile),NA,NA,Universidad+de+La+Frontera+(Chile),NA,NA,Universidad de La Frontera (Chile)_NA_NA,-72.61829051629903,-38.748060499999994
Universidad Federal de Río de Janeiro,Universidad Federal de Río de Janeiro,NA,NA,Universidad+Federal+de+Río+de+Janeiro,NA,NA,Universidad Federal de Río de Janeiro_NA_NA,-43.233170287422354,-22.8533498
NA,NA,NA,NA,NA,NA,NA,NA_NA_NA,NA,NA
"Universidad Pablo de Olavide
Dpto. Sistemas Físicos, Químicos y Naturales
Ctra.Utrera Km 1, 41013
Sevilla, Spain","Universidad Pablo de Olavide
Dpto. Sistemas Físicos, Químicos y Naturales
Ctra.Utrera Km 1, 41013
Sevilla, Spain",NA,NA,Universidad+Pablo+de+Olavide+Sevilla,NA,NA,"Universidad Pablo de Olavide
Dpto. Sistemas Físicos, Químicos y Naturales
Ctra.Utrera Km 1, 41013
Sevilla, Spain_NA_NA",-5.938167775804539,37.356080899999995
Universidad Rey Juan Carlos,Universidad Rey Juan Carlos,NA,NA,Universidad+Rey+Juan+Carlos,NA,NA,Universidad Rey Juan Carlos_NA_NA,-3.8771203152794294,40.33611785
Universidad de Alcalá de Henares (Madrid),Universidad de Alcalá de Henares (Madrid),NA,NA,Universidad+de+Alcalá+de+Henares+(Madrid),NA,NA,Universidad de Alcalá de Henares (Madrid)_NA_NA,-3.363064202743788,40.4823302
Real Jardín Botánico,Real Jardín Botánico,NA,NA,Real+Jardín+Botánico,NA,NA,Real Jardín Botánico_NA_NA,-4.137170188840263,40.5844458
EBD-CSIC,EBD-CSIC,NA,NA,Estación+Biológica+de+Doñana,NA,NA,EBD-CSIC_NA_NA,-6.005817705690609,37.4119228
Universidad de Jaén,Universidad de Jaén,NA,NA,Universidad+de+Jaén,NA,NA,Universidad de Jaén_NA_NA,-3.776633970633042,37.78820865
EBD,EBD,NA,NA,Estación+Biológica+de+Doñana,NA,NA,EBD_NA_NA,-6.005817705690609,37.4119228
Universidad de Burgos,Universidad de Burgos,NA,NA,Universidad+de+Burgos,NA,NA,Universidad de Burgos_NA_NA,-3.7336216,42.3425025
Universidad California Davis,Universidad California Davis,NA,NA,Universidad+California+Davis,NA,NA,Universidad California Davis_NA_NA,-121.79075439946112,38.533790350000004
Universidad de Sevilla - Joint Research Unit LifeWatch Spain (JRU LW.ES),Universidad de Sevilla - Joint Research Unit LifeWatch Spain (JRU LW.ES),NA,NA,Universidad+de+Sevilla,Sevilla,Spain,Universidad de Sevilla - Joint Research Unit LifeWatch Spain (JRU LW.ES)_NA_NA,-5.990264998425345,37.380731749999995
Grupo Ingeniería Electronica (US) -  JRU LifeWatch Spain,Grupo Ingeniería Electronica (US) -  JRU LifeWatch Spain,NA,NA,Universidad+de+Sevilla,Sevilla,Spain,Grupo Ingeniería Electronica (US) -  JRU LifeWatch Spain_NA_NA,-5.990264998425345,37.380731749999995
"GRECO, Institute of Aquatic Ecology, University of Girona, Girona, Spain","GRECO, Institute of Aquatic Ecology, University of Girona, Girona, Spain",NA,NA,Universidad+de+Girona,NA,NA,"GRECO, Institute of Aquatic Ecology, University of Girona, Girona, Spain_NA_NA",2.8280084,41.9845435
University of Arizona,University of Arizona,NA,NA,University+of+Arizona,NA,NA,University of Arizona_NA_NA,-112.06367894217559,33.45205165
Universidad de Granada,Universidad de Granada,NA,NA,Universidad+de+Granada,Granada,Spain,Universidad de Granada_NA_NA,-3.6000115,37.1809009
Universidade de Vigo,Universidade de Vigo,NA,NA,Universidade+de+Vigo,NA,NA,Universidade de Vigo_NA_NA,-8.6837033,42.1689885
Universidad de Alcalá,Universidad de Alcalá,NA,NA,Universidad+de+Alcalá,NA,NA,Universidad de Alcalá_NA_NA,-3.363064202743788,40.4823302
"Graduate School of Design, Harvard University","Graduate School of Design, Harvard University",NA,NA,Harvard+University,NA,NA,"Graduate School of Design, Harvard University_NA_NA",-71.12221394207614,42.365743249999994
Tragsatec,Tragsatec,NA,NA,Tragsatec,NA,NA,Tragsatec_NA_NA,-8.5343517,42.894759
BC3,BC3,NA,NA,UPV+Leioa,NA,NA,BC3_NA_NA,-2.9699808894255426,43.32916865
Universidad de Cádiz,Universidad de Cádiz,NA,NA,Universidad+de+Cádiz,NA,NA,Universidad de Cádiz_NA_NA,-6.2059829,36.5294785
Universidad de Córdoba,Universidad de Córdoba,NA,NA,Universidad+de+Córdoba,Córdoba,Spain,Universidad de Córdoba_NA_NA,-4.78854980783791,37.8843231
"Área de Biodiversidad, Universidad Rey Juan Carlos","Área de Biodiversidad, Universidad Rey Juan Carlos",NA,NA,Universidad+Rey+Juan+Carlos,NA,NA,"Área de Biodiversidad, Universidad Rey Juan Carlos_NA_NA",-3.8771203152794294,40.33611785
Centre de Recerca Ecològica i Aplicacions Forestals (CREAF),Centre de Recerca Ecològica i Aplicacions Forestals (CREAF),NA,NA,CREAF,Barcelona,Spain,Centre de Recerca Ecològica i Aplicacions Forestals (CREAF)_NA_NA,2.10963,41.5009455
UB,UB,NA,NA,UB,Barcelona,Spain,UB_NA_NA,2.0920554816195063,41.30644513375914
sí,sí,NA,NA,NA,NA,NA,sí_NA_NA,NA,NA
Estación Biológica de Doñana,Estación Biológica de Doñana,NA,NA,Estación+Biológica+de+Doñana,NA,NA,Estación Biológica de Doñana_NA_NA,-6.005817705690609,37.4119228
Gestión Ambiental de Navarra (GAN-NIK),Gestión Ambiental de Navarra (GAN-NIK),NA,NA,Gestión+Ambiental+de+Navarra+(GAN+NIK),Navarra,Spain,Gestión Ambiental de Navarra (GAN-NIK)_NA_NA,0.0316563,42.54084
Universidad de Huelva - Departamento de Ciencias Integradas,Universidad de Huelva - Departamento de Ciencias Integradas,NA,NA,Universidad+de+Huelva,NA,NA,Universidad de Huelva - Departamento de Ciencias Integradas_NA_NA,-6.923136587535984,37.27169578081933
Universidad Miguel Hernández de Elche,Universidad Miguel Hernández de Elche,NA,NA,Universidad+Miguel+Hernández+de+Elche,NA,NA,Universidad Miguel Hernández de Elche_NA_NA,-0.6899446526852941,38.2769777
Universidad Politécnica de Madrid,Universidad Politécnica de Madrid,NA,NA,Universidad+Politécnica+de+Madrid,NA,NA,Universidad Politécnica de Madrid_NA_NA,-3.6282862167150904,40.3894276
Universidad Complutense de Madrid,Universidad Complutense de Madrid,NA,NA,Universidad+Complutense+de+Madrid,NA,NA,Universidad Complutense de Madrid_NA_NA,-3.7900439484094033,40.4314742
"Data Science and Machine Learning Engineer. Engineer specialized in Bioinformatics and also Business+Marketing studies for the University of Zaragoza, University of Wales and Barcelona University.","Data Science and Machine Learning Engineer. Engineer specialized in Bioinformatics and also Business+Marketing studies for the University of Zaragoza, University of Wales and Barcelona University.",NA,NA,UB,Barcelona,Spain,"Data Science and Machine Learning Engineer. Engineer specialized in Bioinformatics and also Business+Marketing studies for the University of Zaragoza, University of Wales and Barcelona University._NA_NA",2.0920554816195063,41.30644513375914
iuFOR Universidad de Valladolid (campus de Palencia),iuFOR Universidad de Valladolid (campus de Palencia),NA,NA,Instituto+de+Investigación+en+Gestión+Forestal+Sostenible,Palencia,Spain,iuFOR Universidad de Valladolid (campus de Palencia)_NA_NA,-4.5328735,42.0108856
Universidad Autónoma de Madrid,Universidad Autónoma de Madrid,NA,NA,Universidad+Autónoma+de+Madrid,NA,NA,Universidad Autónoma de Madrid_NA_NA,-3.6949577655963672,40.5453765
Basque Center for Climate Change (BC3),Basque Center for Climate Change (BC3),NA,NA,UPV+Leioa,NA,NA,Basque Center for Climate Change (BC3)_NA_NA,-2.9699808894255426,43.32916865
Instituto Tecnológico Agrario de Castilla y León,Instituto Tecnológico Agrario de Castilla y León,NA,NA,Instituto+Tecnológico+Agrario+de+Castilla+y+León,NA,NA,Instituto Tecnológico Agrario de Castilla y León_NA_NA,-4.710095099400981,41.698263850000004
Instituto Pirenaico de Ecología,Instituto Pirenaico de Ecología,NA,NA,Instituto+Pirenaico+de+Ecología,NA,NA,Instituto Pirenaico de Ecología_NA_NA,-0.8114977496633056,41.7231438
