afil_id,lon,lat
Universidad de Sevilla_Sevilla_España,-5.990264998425345,37.380731749999995
Estación Biologica de Doñana_Sevilla_España,-6.005817705690609,37.4119228
Universitat de Lleida_Lleida_España,0.5968596265003133,41.6284922
Gestión Ambiental de Navarra (GAN-NIK)_Navarra_España,0.0316563,42.54084
Grupo Ingeniería Electronica (US) -  JRU LifeWatch Spain_Sevilla_España,-5.9953403,37.3886303
Universidad de Huelva - Departamento de Ciencias Integradas_Huelva_España,-6.9484945,37.2575874
Real Jardín Botánico_Madrid_España,-3.6921452,40.4123656
Universitat Politècnica de València_Valencia_España,-0.3420311427062354,39.4808517
"Centro de Ecología Aplicada ""Baeta Neves"" - Universidad de Lisboa
Universidad de Cádiz (a partir de abril)_Cádiz_España",-6.2928976,36.5297438
BC3_País Vasco_España,-16.72524744407599,28.083490927961
Universidad de Alcalá de Henares (Madrid)_Alcalá de Henares_España,-3.345832614810924,40.50915318494861
Universidad de Burgos_Burgos_España,-3.7336216,42.3425025
Universidad de Burgos_Burgos_España,-3.7336216,42.3425025
"Laboratorio de Ecología, Instituto Investigación Sistema Tierra Andalucía - Universidad de Granada_Granada_España",-3.5995337,37.1734995
"GRECO, Institute of Aquatic Ecology, University of Girona, Girona, Spain_Girona_España",2.8199439,41.9793006
Institudo Meditarráneo de Estudios Avanzados (IMEDEA). CSIC-UIB_Barcelona_España,2.1774322,41.3828939
Estación Biológica de Doñana_Sevilla_España,-6.005817705690609,37.4119228
Universidad de Jaén_Jaén_España,-3.776633970633042,37.78820865
Universidad Rey Juan Carlos_Madrid_España,-3.610932955292648,40.40603145
Universidad California Davis_Berkeley_USA,-122.272863,37.8708393
EBD_Sevilla_España,-5.9953403,37.3886303
"Departamento de Botánica, Ecología y Fisiología Vegetal. Universidad de Córdoba_Córdoba_España",-4.7760138,37.8845813
Universidad Politécnica de Madrid_Madrid_España,-3.6282862167150904,40.3894276
Estación Biológica de Doñana (EBD-CSIC)_Sevilla_España,-5.9953403,37.3886303
iuFOR Universidad de Valladolid (campus de Palencia)_Valladolid_España,-4.728605,41.6521807
"iuFOR, Instituto de Investigación en Gestión Forestal Sostenible, Universidad de Valladolid (Campus de Palencia)_Valladolid_España",-4.728605,41.6521807
Universidad de Sevilla_Sevilla_España,-5.990264998425345,37.380731749999995
Universidad de La Frontera (Chile)_La Frontera_Chile,-72.7767849,-39.1167429
Universidad Rey Juan Carlos_Madrid_España,-3.610932955292648,40.40603145
Universidad Complutense de Madrid_Madrid_España,-3.7900439484094033,40.4314742
"Departamento de Biología y Geología, Física y Química Inorgánica, Universidad Rey Juan Carlos_Madrid_España",-3.7035825,40.4167047
Universidad de Sevilla_Sevilla_España,-5.990264998425345,37.380731749999995
EBD-CSIC_Sevilla_España,-5.9953403,37.3886303
Estación Biológica de Doñana (CSIC)_Sevilla_España,-6.005817705690609,37.4119228
Trabajador independiente_-_España,NA,NA
"Swedish University of Agricultural Sciences SLU
Faculty of Forest Sciences
Department of Forest Resource Management
Section of Mathematical Statistics Applied to Forest Sciences_-_Sweden",NA,NA
CEBAS-CSIC_Madrid_España,-3.7035825,40.4167047
Universidad de Alcalá_Alcalá de Henares_España,-3.363064202743788,40.4823302
Centre de Recerca Ecològica i Aplicacions Forestals (CREAF)_Lleida_España,0.6267842,41.6147605
CEBAS-CSIC_Madrid_España,-3.7035825,40.4167047
Universidad de Sevilla_Sevilla_España,-5.990264998425345,37.380731749999995
Technical University of Munich_Munich_Germany,11.669345610437995,48.2655696
UB_Barcelona_España,2.0920554816195063,41.30644513375914
Tragsatec_Madrid_España,-3.6744253,40.4333414
"- CEO in TechInCrop
- Asistente Honorario Dpto. Biología Vegetal y Ecología. Área Fisiología Vegetal. Universidad de Sevilla_Sevilla_España",-5.9953403,37.3886303
Universidad de Alcalá_Alcalá de Henares_España,-3.363064202743788,40.4823302
University of Arizona_Arizona_USA,-112.0636789421756,33.45205165
Estación Biológica de Doñana (EBD-CSIC)_Sevilla_España,-5.9953403,37.3886303
NA_-_España,0.1035743,38.8402731
Instituto Pirenaico de Ecología_Jaca_España,-0.5607145000313029,42.56584395
CSIC_Zaragoza_España,-0.8117850232296107,41.724515
Universidad de Cádiz_Cádiz_España,-6.203840993045133,36.53247322444936
"Data Science and Machine Learning Engineer. Engineer specialized in Bioinformatics and also Business+Marketing studies for the University of Zaragoza, University of Wales and Barcelona University._-_España",NA,NA
Universidad de Granada_Granada_España,-3.6000115,37.1809009
Universidad Miguel Hernández de Elche_Elche_España,-0.6899446526852941,38.2769777
Estación Biológica de Doñana (EBD-CSIC)_Sevilla_España,-5.9953403,37.3886303
Centro Tecnológico Forestal de Cataluña_Lleida_España,0.6267842,41.6147605
CREAF_Lleida_España,0.6267842,41.6147605
Universidad Federal de Río de Janeiro_Rio de Janeiro_Brasil,-43.2093727,-22.9110137
"Instituto de Recursos Naturales y Agrobiología de Sevilla (IRNAS-CSIC)

41012 Sevilla (España)_Sevilla_España",-5.9953403,37.3886303
Universidad de Córdoba_Sevilla_España,-5.9953403,37.3886303
"Forest Ecology and Restoration Group, Universidad de Alcalá_Alcalá de Henares_España",-3.363981,40.481954
Universidad de Sevilla_Sevilla_España,-5.990264998425345,37.380731749999995
Estación Biológica de Doñana (EBD-CSIC)_Sevilla_España,-5.9953403,37.3886303
CREAF_Lleida_España,0.6267842,41.6147605
"Universidad Pablo de Olavide
Dpto. Sistemas Físicos, Químicos y Naturales
Ctra.Utrera Km 1, 41013
Sevilla, Spain_Sevilla_España",-5.9953403,37.3886303
Basque Center for Climate Change (BC3)_País Vasco_España,-1.97383746697463,42.728653050000005
Universidad de Sevilla_Sevilla_España,-5.990264998425345,37.380731749999995
sí_-_España,-3.6787742,40.4035262
Universidade de Vigo_Vigo_España,-8.6837033,42.1689885
Universidad de Sevilla - Joint Research Unit LifeWatch Spain (JRU LW.ES)_Sevilla_España,-5.9953403,37.3886303
"Área de Biodiversidad, Universidad Rey Juan Carlos_Madrid_España",-3.7035825,40.4167047
"Graduate School of Design, Harvard University_Harvard_USA",-71.5845822,42.501419
Freelance_-_-,151.2868476,-33.7980119
Instituto Tecnológico Agrario de Castilla y León_-_España,-4.710095099400981,41.69826385
